No.;Time;Comment;Scramble;Date;P.1
1;10.72;;R2 B D2 U2 F D2 F R2 D2 R2 U2 R D2 U2 F D F D2 R' U';2020-12-26 21:32:25;10.72
2;12.56;;U' R2 F' D2 B F L2 B' R2 F L2 B R B D2 R' U B U2 R';2020-12-26 21:33:09;12.56
3;10.81;;L' B R2 D L' B U R U' L D2 R' F2 D2 L' F2 U2 R2 L' B2 R2;2020-12-26 21:33:37;10.81
4;17.37;;R U2 B2 F2 D L2 D U2 R2 U B2 L2 R' U2 L B D' U2 R' F D;2020-12-26 21:34:02;17.37
5;12.94;;L' D L2 B F2 L2 F' U2 R2 U2 L2 F' D2 L D' U2 B2 D' L U';2020-12-26 21:34:53;12.94
6;16.31;;B L2 U' R D2 U2 B2 L' U2 F2 R2 F2 L R' U B' D F' R U F';2020-12-26 21:35:16;16.31
7;13.79;;L' U2 B2 D2 B2 F2 L B2 D2 L R2 U2 F' L2 D R U R B' U L;2020-12-26 21:35:44;13.79
8;14.83;;U2 D2 L' F U2 D2 R D R2 U2 F2 R2 U L2 B2 D F2 L U2;2020-12-26 21:36:07;14.83
9;12.61;;R' U2 R B L' F' L D' F' U' B2 D F2 L2 U R2 U2 F2 B2 D' R2;2020-12-26 21:36:36;12.61
10;13.71;;F2 R2 D2 F2 U2 F2 L2 D2 F' D2 U L' B2 D L' R2 F U R';2020-12-26 21:37:01;13.71
11;13.13;;R2 U F2 L2 D2 B2 U2 F2 U2 R2 U' R F' D U' L B R2 D2 B2 D2;2020-12-26 21:37:34;13.13
12;11.73;;U' D' R2 D2 B R L2 F R2 F2 R2 U2 R2 F2 D2 F2 D L;2020-12-26 21:37:56;11.73
13;14.25;;D2 R F2 R2 F R2 U2 B2 F R2 B2 D2 R2 D' B2 F D' L B2 U2;2020-12-26 21:38:27;14.25
14;14.96;;F' U' F2 R F' L2 B2 D' L' U2 B2 R2 L2 U2 F D2 B L2 B;2020-12-26 21:38:51;14.96
15;10.48;;R2 F' D2 F2 D' L' U' F B R2 F B2 U2 D2 B L2 D2 R2 L' U';2020-12-26 21:39:26;10.48
16;13.54;;U2 D2 L2 U R' D B U' F2 D R2 F2 D L2 D L2 F2 D' B2 L U';2020-12-26 21:39:48;13.54
17;11.49;;F2 L2 D2 F U2 B' D2 F2 L2 U2 F' L' R' U' R F2 R' B2 R B';2020-12-26 21:40:12;11.49
18;12.97;;L' D F2 R2 D2 L B2 R' D2 L' B2 R' U' L B2 L' F R' U2;2020-12-26 21:40:45;12.97
19;13.42;;B2 U2 F2 U' B2 R2 U2 L2 F2 R2 D' L' D' B' L2 B2 R B R2 U2;2020-12-26 21:41:20;13.42
20;14.55;;U2 F2 U' B2 D' F2 U2 F2 L2 U F2 U L D L' R D2 L' B L' U';2020-12-26 21:41:49;14.55
21;12.57;;F2 D' R' F' U B2 R2 D' L' D' L2 U2 L2 D' F2 L2 B2 U F2 U';2020-12-26 21:42:21;12.57
22;13.43;;L2 R2 D U2 F2 D2 R2 U' B2 U' B U' B' R' B2 F' D2 R D2 R2;2020-12-26 21:42:51;13.43
23;13.36;;L U2 R U F R2 D' F D2 R2 D2 L2 B D2 R2 B2 R2 F B2 D' L';2020-12-26 21:43:16;13.36
24;15.12;;R' D' R2 U' R2 B2 R2 U2 L2 U R2 F2 B' L F2 L' U2 F2 U' L';2020-12-26 21:43:42;15.12
25;13.22;;U2 B L' F2 R2 F' U2 B' L2 F' L2 R D B' F R2 U2 B';2020-12-26 21:44:07;13.22
26;12.93;;B2 L2 U' L2 B2 R2 U F2 D B2 L2 D' B' L' U' B' F2 D' L' R' F';2020-12-26 21:44:34;12.93
27;16.71;;B L2 U' R' B2 R' L2 U' D2 F' D2 F2 D2 L2 B2 R2 B2 U2 B' L2;2020-12-26 21:45:02;16.71
28;15.45;;U2 R2 U2 F U2 B' F2 D2 B' L2 D' L R' D2 B' L F D L' F';2020-12-26 21:45:40;15.45
29;11.72;;D' B L2 F' D2 F R2 F D2 F2 U2 B2 U L U R' B' F' U' F L2;2020-12-26 21:46:07;11.72
30;15.50;;U2 F D' L' F' B D B2 R F2 U2 R D2 F2 D2 R' F2 R' F2 U;2020-12-26 21:46:30;15.50
31;11.60;;B2 R2 F D2 R2 D2 F2 R2 F' U2 B' F' L' F' D2 U' R D' R2 D' U';2020-12-26 21:46:57;11.60
32;13.40;;U L' U' R' F2 U2 D' B U' R' B2 U2 D2 R' D2 L' U2 F2 U2 R2;2020-12-26 21:47:37;13.40
33;13.09;;R2 D' L2 F U2 B2 U2 R2 B L2 R2 D2 F' L2 U' B L' D' B2 D F;2020-12-26 21:48:04;13.09
34;9.53;;F' B L' B R2 U F' L' F2 B2 U B2 R2 U2 F2 D' F2 L2 B2 D' F';2020-12-26 21:48:29;9.53
35;13.18;;U' F2 D' L2 R2 D' L2 U B2 D2 B2 U' F' U' F2 L' R2 D' R U' B;2020-12-26 21:48:55;13.18
36;13.91;;R2 F' L2 D2 F L2 B' D2 B2 U' R D' F L' F2 R2 B' F2 L';2020-12-26 21:49:24;13.91
