No.;Time;Comment;Scramble;Date;P.1
3497;17.16;;F' U L R2 F2 U2 F R2 B' L2 F2 U2 R2 F L B D' L' U L' D2;2021-02-02 00:00:01;17.16
3498;12.62;;L2 F R B D' F' L D' B' F2 D2 R2 F2 L U2 R F2 U2 B2 L';2021-02-02 00:00:29;12.62
3499;13.18;;D L F' U R2 F R' B D2 R' U2 B2 R2 F2 R' B2 R U2 F2 R2;2021-02-02 00:00:57;13.18
3500;11.25;;F2 D2 L' D2 L B' D R' U' F2 U' L2 B2 R2 F2 D R2 D F2 D2 B;2021-02-02 00:01:41;11.25
3501;13.24;;D2 F U2 F' R2 F2 R2 B D2 B' D2 R B2 D' U R D' L' D U L2;2021-02-02 00:02:03;13.24
3502;16.15;;U' L2 B2 D F2 U B2 U' R2 F2 D2 L2 B R F L U B D' R F;2021-02-02 00:02:30;16.15
3503;11.43;;R' F' B2 L D2 U2 R D2 B2 D2 F2 L' R2 B2 D B2 R B L2 D' B2;2021-02-02 00:03:05;11.43
3504;12.93;;B D' F D2 F L2 U2 R2 F2 L2 B D L' R' F U2 L D' U;2021-02-02 00:03:26;12.93
3505;14.87;;L2 B2 U B2 U' L2 D2 F2 L2 B2 L2 U B L F' D L2 B' R F' R;2021-02-02 00:03:52;14.87
3506;14.04;;L U F2 D2 B2 U' B R F2 L2 U' L2 B2 L2 B2 U' F2 D';2021-02-02 00:04:19;14.04
3507;14.98;;U B' U B L2 U B' L' R2 U2 R2 B R2 D2 F2 B' L2 D2 B' L';2021-02-02 00:06:48;14.98
3508;13.62;;U L2 U' B R' U L' B' L' F L2 U2 D2 F' U2 D2 L2 U2 L2 F;2021-02-02 00:07:17;13.62
3509;13.67;;R2 B' F2 U B2 U F2 U L2 R2 U' B2 U' R' D L' U' B' D' R' B;2021-02-02 00:07:43;13.67
3510;13.79;;B D' F L F2 D' F2 R' F' U2 L2 U2 B' R2 F' R2 B' D2 R2 L2;2021-02-02 00:08:09;13.79
3511;15.86;;D2 L' R2 D R2 U' B2 U F2 L2 F2 D' B F' U B' L' F' U L;2021-02-02 00:08:37;15.86
3512;12.82;;F' L2 B2 U2 B' D2 F2 U2 L2 D2 F2 D L' D' R' F D2 F U R';2021-02-02 00:09:13;12.82
3513;12.60;;D2 B' L2 D L F2 R D' L' U' B2 R2 U L2 U' L2 U D2 B2 D2 R2;2021-02-02 00:09:46;12.60
3514;17.35;;B F R2 D2 R2 F' L2 F2 L2 F U2 R U2 F R2 B' U B' F2 L' U';2021-02-02 00:10:09;17.35
3515;16.67;;D' F' R2 U2 F2 U R2 B2 F2 D U' F' D2 L' D' B L' U;2021-02-02 00:10:39;16.67
3516;14.46;;D' B2 F R2 D2 B' D2 L2 R2 F R2 D2 F' R D' U F L2 F2 L D';2021-02-02 00:11:11;14.46
3517;16.26;;B U' B D F' L' D F B U L2 B2 U B2 D' L2 F2 U2 D' B2;2021-02-02 00:11:38;16.26
3518;12.60;;D2 R B2 D2 L2 R2 U' B2 D F2 L2 B2 L2 B' L' R2 F' R' U B;2021-02-02 00:12:05;12.60
3519;13.06;;R2 B U2 R2 U2 B' L2 B D2 R2 F L' D2 R' U2 F2 U L R F';2021-02-02 00:12:26;13.06
3520;14.29;;D L2 U R2 D' R2 U' R2 U' L2 U L2 B R' F' D B2 L D' U' R';2021-02-02 00:14:01;14.29
3521;13.14;;D F' D R2 D R2 F2 D' L2 R2 D2 F2 D L U' F' U F' D2 L' U';2021-02-02 00:14:33;13.14
3522;15.54;;D' U2 B2 R F2 R' B2 D2 R' D2 L2 U L' B' R' U R2 D U';2021-02-02 00:14:58;15.54
3523;12.14;;U F2 D2 L2 U2 R2 B D2 B R2 D2 R' D' B' F2 D' R' F;2021-02-02 00:15:24;12.14
3524;15.43;;U B' L F' D R2 D B' U R' U2 R L2 B2 R U2 L2 U2 F2;2021-02-02 00:15:47;15.43
3525;12.74;;U2 B L' D B U' L D' F2 L2 B2 U2 F2 D' L2 F2 U' L2 F2 L' B;2021-02-02 00:16:11;12.74
3526;12.87;;D' R L2 U2 F' U2 B' D2 L2 U2 R2 B' L2 R B D2 U' L2 R F;2021-02-02 00:16:42;12.87
3527;13.46;;B' R' U2 L2 D F2 U F2 U' B2 F2 R2 U B' U' F D' F' L' F2;2021-02-02 00:17:14;13.46
3528;11.88;;B2 D2 U2 F' D2 L2 B' R2 F L2 B' D F' L' D' U' R D B2 D2;2021-02-02 00:17:38;11.88
3529;11.88;;B2 U' F2 L2 B2 D R2 D' L2 U' R2 B F' L D' L R B2 U' B' D';2021-02-02 00:18:06;11.88
3530;13.79;;R D' R F2 L' F2 D2 L2 F2 R B2 L' B2 F' U L' F' L' R U';2021-02-02 00:18:27;13.79
